Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
4/20/2021,4,2021,717.419983,737.25,710.690002,718.98999,718.98999,35609000
4/21/2021,4,2021,704.77002,744.840027,698,744.119995,744.119995,31215500
4/22/2021,4,2021,741.5,753.77002,718.039978,719.690002,719.690002,35590300
4/23/2021,4,2021,719.799988,737.359985,715.460022,729.400024,729.400024,28370000
4/26/2021,4,2021,741,749.299988,732.609985,738.200012,738.200012,31038500
4/27/2021,4,2021,717.960022,724,703.349976,704.73999,704.73999,29437000
4/28/2021,4,2021,696.409973,708.5,693.599976,694.400024,694.400024,22271000
4/29/2021,4,2021,699.51001,702.25,668.5,677,677,28845400
4/30/2021,4,2021,667.590027,715.469971,666.140015,709.440002,709.440002,40758700
5/3/2021,5,2021,703.799988,706,680.5,684.900024,684.900024,27043100
5/4/2021,5,2021,678.940002,683.450012,657.700012,673.599976,673.599976,29739300
5/5/2021,5,2021,681.059998,685.299988,667.340027,670.940002,670.940002,21901900
5/6/2021,5,2021,680.76001,681.02002,650,663.539978,663.539978,27784600
5/7/2021,5,2021,665.799988,690,660.219971,672.369995,672.369995,23469200
5/10/2021,5,2021,664.900024,665.049988,627.609985,629.039978,629.039978,31392400
5/11/2021,5,2021,599.23999,627.099976,595.599976,617.200012,617.200012,46503900
5/12/2021,5,2021,602.48999,620.409973,586.77002,589.890015,589.890015,33823600
5/13/2021,5,2021,601.539978,606.460022,559.650024,571.690002,571.690002,44184900
5/14/2021,5,2021,583.409973,592.869995,570.460022,589.73999,589.73999,33370900
5/17/2021,5,2021,575.549988,589.72998,561.200012,576.830017,576.830017,32390400
5/18/2021,5,2021,568,596.25,563.380005,577.869995,577.869995,36830600
5/19/2021,5,2021,552.549988,566.210022,546.97998,563.460022,563.460022,39578400
5/20/2021,5,2021,575,588.849976,571.070007,586.780029,586.780029,30821100
5/21/2021,5,2021,596.109985,596.679993,580,580.880005,580.880005,26030600
5/24/2021,5,2021,581.599976,614.47998,573.650024,606.440002,606.440002,34558100
5/25/2021,5,2021,607.309998,613.98999,595.710022,604.690002,604.690002,28005900
5/26/2021,5,2021,607.559998,626.169983,601.5,619.130005,619.130005,28639300
5/27/2021,5,2021,620.23999,631.130005,616.210022,630.849976,630.849976,26370600
5/28/2021,5,2021,628.5,635.590027,622.380005,625.219971,625.219971,22737000
6/1/2021,6,2021,627.799988,633.799988,620.549988,623.900024,623.900024,18084900
6/2/2021,6,2021,620.130005,623.359985,599.140015,605.119995,605.119995,23302800
6/3/2021,6,2021,601.799988,604.549988,571.219971,572.840027,572.840027,30111900
6/4/2021,6,2021,579.710022,600.609985,577.200012,599.049988,599.049988,24036900
6/7/2021,6,2021,591.830017,610,582.880005,605.130005,605.130005,22543700
6/8/2021,6,2021,623.01001,623.090027,595.5,603.590027,603.590027,26053400
6/9/2021,6,2021,602.169983,611.789978,597.630005,598.780029,598.780029,16584600
6/10/2021,6,2021,603.880005,616.590027,600.5,610.119995,610.119995,23919600
6/11/2021,6,2021,610.22998,612.559998,601.52002,609.890015,609.890015,16205300
6/14/2021,6,2021,612.22998,625.48999,609.179993,617.690002,617.690002,20424000
6/15/2021,6,2021,616.690002,616.789978,598.22998,599.359985,599.359985,17764100
6/16/2021,6,2021,597.539978,608.5,593.5,604.869995,604.869995,22144100
6/17/2021,6,2021,601.890015,621.469971,601.340027,616.599976,616.599976,22701400
6/18/2021,6,2021,613.369995,628.349976,611.799988,623.309998,623.309998,24560900
6/21/2021,6,2021,624.47998,631.390015,608.880005,620.830017,620.830017,24812700
6/22/2021,6,2021,618.25,628.570007,615.5,623.710022,623.710022,19158900
6/23/2021,6,2021,632,657.200012,630.039978,656.570007,656.570007,31099200
6/24/2021,6,2021,674.98999,697.619995,667.609985,679.820007,679.820007,45982400
6/25/2021,6,2021,689.580017,693.809998,668.700012,671.869995,671.869995,32496700
6/28/2021,6,2021,671.640015,694.700012,670.320007,688.719971,688.719971,21628200
6/29/2021,6,2021,684.650024,687.51001,675.890015,680.76001,680.76001,17381300
6/30/2021,6,2021,679.77002,692.809998,678.140015,679.700012,679.700012,18924900
7/1/2021,7,2021,683.919983,687.98999,672.799988,677.919983,677.919983,18634500
7/2/2021,7,2021,678.97998,700,673.26001,678.900024,678.900024,27054500
7/6/2021,7,2021,681.710022,684,651.400024,659.580017,659.580017,23284500
7/7/2021,7,2021,664.27002,665.700012,638.320007,644.650024,644.650024,18792000
7/8/2021,7,2021,628.369995,654.429993,620.460022,652.809998,652.809998,22773300
7/9/2021,7,2021,653.179993,658.909973,644.690002,656.950012,656.950012,18140500
